iter	Logloss
0	0.6075426343
1	0.5484935253
2	0.5010231132
3	0.4642646352
4	0.4351203313
5	0.4166544849
6	0.4004096429
7	0.3832169267
8	0.3732150073
9	0.3637639617
10	0.356444992
11	0.3490953389
12	0.3429515589
13	0.3348706542
14	0.3295284954
15	0.323935043
16	0.319787905
17	0.3151728636
18	0.3106764312
19	0.3043511567
20	0.299025883
21	0.2947094761
22	0.2922362457
23	0.2899055242
24	0.2875002485
25	0.2846668205
26	0.281601
27	0.2803599152
28	0.2789507147
29	0.2771485038
30	0.2744597264
31	0.2730005875
32	0.271408582
33	0.2702571551
34	0.2692776714
35	0.2676462149
36	0.2653497505
37	0.263031978
38	0.2612359341
39	0.2603146578
40	0.2590818149
41	0.2582388243
42	0.2566684653
43	0.2549751487
44	0.2541410954
45	0.2535533534
46	0.2523183121
47	0.25080095
48	0.2499224461
49	0.2492172401
50	0.248744198
51	0.2484703478
52	0.2469173467
53	0.2462814879
54	0.2453186608
55	0.2444706189
56	0.2441141218
57	0.2435796019
58	0.2431728067
59	0.242788948
60	0.2425469525
61	0.2415113183
62	0.2410700165
63	0.2405510953
64	0.2401656588
65	0.2396820829
66	0.2392294183
67	0.2388769682
68	0.2382934271
69	0.2379014897
70	0.237503117
71	0.23736162
72	0.2368658812
73	0.2360537981
74	0.2358916828
75	0.2346870296
76	0.2341847914
77	0.2334724316
78	0.2333553274
79	0.2327855028
80	0.2326777377
81	0.2324682796
82	0.232126405
83	0.2317579443
84	0.2313587043
85	0.2304629051
86	0.2300647026
87	0.2295370648
88	0.229062597
89	0.2289159052
90	0.2283981922
91	0.228016457
92	0.2273634544
93	0.2271950191
94	0.2269093663
95	0.2267006147
96	0.2265799415
97	0.2264232988
98	0.2261707308
99	0.2258515889
100	0.2255714064
101	0.2250801221
102	0.2248383893
103	0.2244502973
104	0.2236958394
105	0.2234413082
106	0.2233034684
107	0.2228366249
108	0.2225453582
109	0.2221339531
110	0.2220063714
111	0.2216349087
112	0.2213299299
113	0.2211637266
114	0.2209413388
115	0.2207454423
116	0.2205983389
117	0.2202268834
118	0.2196972597
119	0.2194375077
120	0.2191276489
121	0.2188789496
122	0.2184743399
123	0.217946793
124	0.2178038951
125	0.2175589184
126	0.2174018007
127	0.2172341539
128	0.2167653796
129	0.2165437688
130	0.2163180011
131	0.2161165901
132	0.2159593993
133	0.2156750478
134	0.2154877725
135	0.2151557336
136	0.2150247504
137	0.2149136899
138	0.2145678088
139	0.2144321412
140	0.2142824641
141	0.2140997472
142	0.2139163311
143	0.2138280496
144	0.2135628155
145	0.2133905905
146	0.2131948172
147	0.2130601147
148	0.2128677714
149	0.2126099673
150	0.2124119616
151	0.2121948645
152	0.212072442
153	0.2118458546
154	0.2116348424
155	0.211478097
156	0.2112940814
157	0.2112013935
158	0.2110199024
159	0.2109550112
160	0.2108478779
161	0.2106561321
162	0.2105389511
163	0.2103791717
164	0.21027915
165	0.2100430047
166	0.209904962
167	0.2097398549
168	0.2095522592
169	0.2094381822
170	0.2093943931
171	0.2093249597
172	0.2092646322
173	0.2091326668
174	0.2089441131
175	0.2088202456
176	0.2087301318
177	0.2085536339
178	0.2084338502
179	0.208361526
180	0.2081991715
181	0.2080255881
182	0.2079264355
183	0.2077951942
184	0.2077232407
185	0.2076327715
186	0.2075354988
187	0.2074130263
188	0.2073665067
189	0.2072327624
190	0.2071130349
191	0.2070178293
192	0.2068865846
193	0.2067984983
194	0.2067094559
195	0.2066178371
196	0.2065229144
197	0.2064469206
198	0.2063270011
199	0.2062445349
200	0.2061254906
201	0.2060533713
202	0.2059006538
203	0.2058362133
204	0.2056948458
205	0.2056201677
206	0.2055489921
207	0.2054719138
208	0.205387778
209	0.2053424044
210	0.2052221468
211	0.2051120018
212	0.2050650553
213	0.205027316
214	0.2049331325
215	0.2047961446
216	0.2047248673
217	0.2046680901
218	0.2045747823
219	0.2045056786
220	0.2044086288
221	0.2042982231
222	0.2042237843
223	0.2041243844
224	0.2039913333
225	0.2039378143
226	0.203834684
227	0.2037490428
228	0.2036824117
229	0.2036432488
230	0.2035781642
231	0.2034960766
232	0.2034563322
233	0.2033573324
234	0.2032765038
235	0.2032280188
236	0.2031243292
237	0.2030569944
238	0.2029718997
239	0.2029201665
240	0.2028502223
241	0.2027797121
242	0.2027527434
243	0.2026787983
244	0.2025883418
245	0.2025190544
246	0.2024375517
247	0.2023090306
248	0.2022237398
249	0.2021502256
250	0.2020489715
251	0.2019260037
252	0.2018542642
253	0.201788826
254	0.2017077145
255	0.201667
256	0.2016163445
257	0.2015254578
258	0.2014831007
259	0.2014103021
260	0.2013218695
261	0.2012778461
262	0.2012542982
263	0.2010929927
264	0.2010400733
265	0.2010010086
266	0.200926836
267	0.2008925986
268	0.2008507509
269	0.2007739766
270	0.2006417848
271	0.2006050834
272	0.2005357895
273	0.2005071364
274	0.2004251738
275	0.2003546234
276	0.2003082322
277	0.2002303482
278	0.2001229413
279	0.2000711021
280	0.19997046
281	0.1998956151
282	0.1998351781
283	0.1997758955
284	0.1997317915
285	0.1996457073
286	0.1996114269
287	0.1995775907
288	0.1995437369
289	0.1994771709
290	0.1994251062
291	0.1994062115
292	0.1992916045
293	0.199224814
