iter	Passed	Remaining
0	90	90395
1	189	94644
2	278	92465
3	351	87455
4	442	87964
5	544	90144
6	653	92735
7	753	93467
8	851	93813
9	955	94596
10	1055	94919
11	1156	95218
12	1242	94317
13	1340	94396
14	1432	94096
15	1541	94789
16	1643	95050
17	1750	95492
18	1849	95489
19	1949	95518
20	2053	95711
21	2163	96187
22	2261	96082
23	2364	96156
24	2455	95758
25	2558	95849
26	2636	95007
27	2714	94237
28	2793	93519
29	2889	93418
30	2998	93738
31	3114	94221
32	3237	94869
33	3349	95169
34	3488	96181
35	3599	96378
36	3750	97606
37	3887	98409
38	3992	98386
39	4095	98298
40	4196	98158
41	4304	98190
42	4418	98327
43	4533	98496
44	4661	98923
45	4757	98675
46	4843	98206
47	4948	98144
48	5044	97898
49	5143	97732
50	5232	97374
51	5323	97048
52	5424	96916
53	5528	96845
54	5619	96550
55	5716	96371
56	5805	96043
57	5898	95798
58	5989	95534
59	6076	95205
60	6163	94879
61	6257	94676
62	6352	94487
63	6442	94226
64	6547	94181
65	6670	94392
66	6768	94253
67	6868	94142
68	6967	94009
69	7073	93976
70	7182	93985
71	7247	93414
72	7340	93211
73	7428	92960
74	7518	92731
75	7605	92469
76	7704	92351
77	7804	92248
78	7905	92159
79	8001	92014
80	8097	91870
81	8216	91988
82	8353	92293
83	8480	92481
84	8600	92579
85	8722	92702
86	8835	92718
87	8934	92597
88	9026	92392
89	9130	92320
90	9244	92338
91	9342	92205
92	9434	92008
93	9522	91781
94	9628	91723
95	9733	91661
96	9834	91551
97	9936	91459
98	10033	91313
99	10131	91184
100	10246	91201
101	10346	91086
102	10448	90993
103	10551	90907
104	10656	90830
105	10745	90625
106	10824	90342
107	10909	90100
108	11002	89941
109	11094	89764
110	11186	89595
111	11290	89517
112	11387	89389
113	11468	89133
114	11569	89034
115	11657	88839
116	11759	88749
117	11859	88647
118	11974	88654
119	12074	88544
120	12183	88508
121	12281	88385
122	12392	88358
123	12486	88209
124	12598	88191
125	12700	88094
126	12802	88002
127	12899	87880
128	13000	87781
129	13094	87632
130	13219	87693
131	13322	87605
132	13432	87562
133	13548	87560
134	13656	87505
135	13748	87344
136	13848	87236
137	13946	87113
138	14046	87008
139	14139	86858
140	14240	86753
141	14335	86621
142	14433	86501
143	14532	86386
144	14636	86304
145	14738	86212
146	14839	86109
147	14942	86018
148	15038	85890
149	15126	85719
150	15220	85579
151	15318	85463
152	15405	85285
153	15517	85244
154	15640	85268
155	15754	85236
156	15863	85177
157	15974	85131
158	16112	85221
159	16215	85129
160	16323	85066
161	16466	85176
162	16605	85268
163	16742	85346
164	16863	85337
165	16989	85358
166	17126	85428
167	17262	85488
168	17399	85557
169	17520	85542
170	17621	85427
171	17748	85439
172	17869	85420
173	17980	85355
174	18085	85260
175	18185	85141
176	18276	84978
177	18374	84851
178	18468	84708
179	18568	84589
180	18677	84513
181	18790	84454
182	18900	84381
183	19004	84281
184	19129	84272
185	19245	84225
186	19360	84170
187	19482	84147
188	19596	84090
189	19703	83999
190	19821	83956
191	19945	83939
192	20047	83823
193	20141	83681
194	20240	83558
195	20345	83459
196	20437	83305
197	20548	83231
198	20661	83164
199	20767	83068
200	20891	83047
201	20996	82945
202	21087	82792
203	21179	82641
204	21278	82519
205	21379	82405
206	21465	82233
207	21553	82067
208	21659	81973
209	21763	81872
210	21868	81774
211	21963	81636
212	22069	81542
213	22168	81421
214	22262	81283
215	22361	81165
216	22437	80962
217	22530	80819
218	22629	80702
219	22722	80560
220	22820	80441
221	22912	80298
222	23000	80139
223	23091	79995
224	23181	79846
225	23275	79714
226	23371	79586
227	23483	79515
228	23593	79436
229	23688	79304
230	23776	79152
231	23878	79046
232	23963	78884
233	24063	78772
234	24172	78689
235	24279	78600
236	24391	78525
237	24483	78388
238	24583	78277
239	24681	78156
240	24773	78022
241	24861	77871
242	24953	77735
243	25045	77601
244	25134	77454
245	25235	77346
246	25338	77246
247	25434	77124
248	25533	77011
249	25633	76901
250	25745	76826
251	25859	76757
252	25964	76662
253	26062	76544
254	26174	76471
255	26290	76406
256	26397	76315
257	26499	76211
258	26632	76196
259	26730	76079
260	26846	76013
261	26951	75917
262	27061	75833
263	27162	75725
264	27268	75630
265	27361	75502
266	27462	75392
267	27554	75260
268	27658	75161
269	27764	75066
270	27867	74965
271	27974	74872
272	28094	74817
273	28205	74734
274	28325	74676
275	28432	74584
276	28552	74524
277	28659	74432
278	28758	74318
279	28855	74200
280	28972	74132
281	29095	74079
282	29184	73940
283	29300	73869
284	29422	73815
285	29542	73752
286	29657	73678
287	29782	73628
288	29877	73504
289	29995	73437
290	30109	73359
291	30232	73303
292	30344	73220
293	30448	73118
294	30548	73004
295	30668	72940
296	30778	72852
297	30873	72728
298	30977	72626
299	31072	72502
300	31176	72399
301	31294	72329
302	31394	72218
303	31502	72125
304	31605	72019
305	31706	71908
306	31797	71778
307	31894	71659
308	31992	71542
309	32075	71394
310	32178	71289
311	32318	71266
312	32428	71176
313	32534	71079
314	32636	70972
315	32744	70877
316	32855	70789
317	32973	70717
318	33079	70618
319	33199	70548
320	33317	70475
321	33436	70403
322	33567	70356
323	33684	70280
324	33824	70250
325	33945	70181
326	34097	70176
327	34234	70139
328	34379	70117
329	34547	70141
330	34711	70157
331	34825	70070
332	34951	70006
333	35051	69893
334	35164	69804
335	35296	69753
336	35416	69676
337	35555	69638
338	35691	69592
339	35810	69514
340	35928	69433
341	36035	69331
342	36149	69241
343	36266	69160
344	36385	69079
345	36478	68950
346	36604	68883
347	36724	68806
348	36852	68741
349	36970	68658
350	37085	68571
351	37196	68475
352	37304	68374
353	37419	68284
354	37535	68199
355	37652	68112
356	37768	68025
357	37885	67940
358	37991	67834
359	38100	67734
360	38209	67634
361	38331	67557
362	38441	67458
363	38558	67372
364	38664	67266
365	38780	67177
366	38894	67084
367	39009	66994
368	39128	66910
369	39235	66806
370	39363	66738
371	39494	66674
372	39608	66580
373	39733	66505
374	39845	66408
375	39959	66315
376	40077	66228
377	40186	66127
378	40297	66027
379	40448	65994
380	40558	65895
381	40667	65791
382	40777	65691
383	40878	65575
384	40989	65476
385	41121	65410
386	41231	65309
387	41346	65217
388	41456	65116
389	41567	65016
390	41669	64902
391	41801	64835
392	41911	64733
393	42020	64630
394	42120	64513
395	42230	64411
396	42346	64319
397	42449	64208
398	42572	64124
399	42691	64036
400	42799	63933
401	42894	63808
402	42999	63698
403	43118	63610
404	43214	63488
405	43325	63387
406	43414	63255
407	43525	63154
408	43633	63050
409	43745	62951
410	43851	62842
411	43943	62715
412	44054	62614
413	44150	62493
414	44244	62368
415	44368	62285
416	44483	62190
417	44580	62071
418	44690	61969
419	44789	61852
420	44870	61709
421	44984	61613
422	45110	61533
423	45212	61420
424	45328	61326
425	45442	61229
426	45556	61133
427	45674	61041
428	45770	60920
429	45870	60805
430	46003	60733
431	46117	60635
432	46236	60544
433	46343	60438
434	46449	60330
435	46566	60237
436	46669	60125
437	46760	59998
438	46872	59898
439	46969	59779
440	47078	59675
441	47185	59569
442	47308	59482
443	47439	59406
444	47540	59292
445	47654	59194
446	47752	59076
447	47878	58993
448	47997	58900
449	48147	58846
450	48273	58762
451	48397	58677
452	48499	58563
453	48608	58458
454	48716	58352
455	48825	58247
456	48929	58137
457	49038	58032
458	49113	57887
459	49214	57773
460	49327	57673
461	49449	57584
462	49554	57474
463	49667	57374
464	49799	57295
465	49899	57180
466	50035	57106
467	50177	57039
468	50308	56959
469	50428	56865
470	50533	56756
471	50630	56637
472	50721	56512
473	50819	56394
474	50919	56279
475	51017	56162
476	51112	56041
477	51209	55922
478	51309	55808
479	51385	55668
480	51470	55536
481	51560	55411
482	51658	55294
483	51758	55180
484	51856	55064
485	51956	54949
486	52048	54826
487	52130	54693
488	52214	54563
489	52301	54436
490	52399	54320
491	52499	54206
492	52595	54088
493	52703	53983
494	52812	53879
495	52924	53777
496	53020	53660
497	53118	53544
498	53217	53430
499	53314	53314
500	53408	53194
501	53513	53086
502	53640	53000
503	53757	52904
504	53859	52792
505	53957	52677
506	54065	52572
507	54161	52455
508	54258	52340
509	54341	52210
510	54455	52110
511	54561	52003
512	54671	51900
513	54782	51797
514	54874	51678
515	54977	51568
516	55067	51446
517	55164	51330
518	55251	51205
519	55356	51098
520	55436	50967
521	55536	50854
522	55625	50733
523	55729	50624
524	55807	50492
525	55901	50374
526	56008	50269
527	56113	50161
528	56218	50054
529	56347	49968
530	56477	49882
531	56589	49781
532	56695	49675
533	56807	49573
534	56906	49460
535	57018	49359
536	57114	49244
537	57234	49149
538	57328	49032
539	57433	48924
540	57537	48816
541	57627	48696
542	57728	48585
543	57824	48470
544	57928	48361
545	58034	48256
546	58136	48145
547	58244	48041
548	58348	47932
549	58428	47805
550	58531	47695
551	58627	47581
552	58723	47466
553	58816	47350
554	58902	47228
555	59005	47119
556	59100	47004
557	59199	46892
558	59297	46780
559	59400	46671
560	59509	46567
561	59622	46467
562	59723	46357
563	59818	46242
564	59913	46128
565	60015	46019
566	60122	45913
567	60231	45809
568	60385	45740
569	60504	45644
570	60612	45539
571	60710	45426
572	60833	45333
573	60938	45226
574	61042	45118
575	61146	45010
576	61250	44903
577	61361	44800
578	61457	44686
579	61577	44590
580	61687	44486
581	61794	44381
582	61898	44274
583	61992	44159
584	62075	44036
585	62161	43915
586	62245	43794
587	62343	43682
588	62433	43565
589	62530	43453
590	62633	43345
591	62786	43271
592	62912	43179
593	63021	43075
594	63130	42971
595	63263	42883
596	63373	42779
597	63476	42671
598	63574	42559
599	63694	42462
600	63801	42357
601	63889	42239
602	63986	42127
603	64090	42019
604	64203	41918
605	64304	41808
606	64416	41706
607	64521	41599
608	64608	41481
609	64709	41371
610	64797	41254
611	64900	41146
612	64989	41028
613	65092	40921
614	65195	40813
615	65309	40712
616	65425	40612
617	65559	40523
618	65680	40426
619	65787	40321
620	65906	40223
621	66017	40120
622	66130	40018
623	66239	39913
624	66347	39808
625	66486	39721
626	66592	39615
627	66696	39507
628	66805	39403
629	66927	39306
630	67030	39198
631	67126	39086
632	67226	38976
633	67326	38866
634	67423	38755
635	67526	38647
636	67639	38545
637	67742	38437
638	67849	38331
639	67967	38231
640	68071	38124
641	68209	38035
642	68342	37944
643	68441	37833
644	68542	37724
645	68636	37611
646	68733	37500
647	68844	37396
648	68953	37292
649	69057	37184
650	69145	37068
651	69253	36963
652	69343	36848
653	69449	36742
654	69540	36628
655	69646	36521
656	69745	36411
657	69854	36307
658	69937	36189
659	70040	36081
660	70144	35974
661	70237	35861
662	70343	35755
663	70467	35658
664	70565	35547
665	70683	35448
666	70786	35340
667	70900	35237
668	70993	35125
669	71100	35019
670	71191	34906
671	71303	34803
672	71411	34697
673	71510	34588
674	71613	34480
675	71708	34369
676	71799	34256
677	71912	34153
678	72047	34060
679	72150	33953
680	72263	33850
681	72386	33752
682	72504	33651
683	72650	33563
684	72764	33461
685	72868	33353
686	72969	33245
687	73073	33138
688	73179	33031
689	73274	32920
690	73368	32808
691	73479	32704
692	73570	32591
693	73663	32479
694	73753	32366
695	73843	32253
696	73945	32145
697	74042	32035
698	74136	31924
699	74231	31813
700	74330	31704
701	74418	31590
702	74501	31475
703	74596	31364
704	74706	31260
705	74797	31147
706	74904	31042
707	75020	30940
708	75128	30835
709	75237	30730
710	75342	30624
711	75469	30526
712	75573	30420
713	75691	30319
714	75806	30216
715	75906	30108
716	75993	29994
717	76100	29888
718	76215	29786
719	76322	29680
720	76438	29578
721	76545	29473
722	76668	29373
723	76775	29268
724	76885	29163
725	77011	29065
726	77110	28956
727	77213	28849
728	77328	28746
729	77434	28640
730	77541	28534
731	77630	28421
732	77725	28312
733	77817	28201
734	77909	28089
735	78012	27982
736	78118	27876
737	78207	27764
738	78316	27659
739	78415	27551
740	78525	27446
741	78632	27341
742	78750	27239
743	78865	27136
744	78965	27028
745	79074	26923
746	79170	26814
747	79275	26707
748	79382	26602
749	79492	26497
750	79603	26393
751	79723	26291
752	79833	26187
753	79953	26085
754	80048	25975
755	80156	25870
756	80268	25766
757	80381	25662
758	80494	25558
759	80593	25450
760	80699	25344
761	80810	25239
762	80912	25132
763	81018	25026
764	81102	24913
765	81198	24804
766	81307	24699
767	81407	24591
768	81518	24487
769	81642	24386
770	81753	24282
771	81861	24176
772	81988	24076
773	82092	23970
774	82195	23863
775	82303	23757
776	82388	23645
777	82502	23541
778	82607	23435
779	82700	23325
780	82814	23221
781	82919	23115
782	83010	23005
783	83116	22899
784	83213	22790
785	83311	22682
786	83421	22577
787	83535	22473
788	83645	22369
789	83767	22267
790	83871	22160
791	83983	22056
792	84122	21958
793	84223	21851
794	84313	21741
795	84420	21635
796	84511	21525
797	84622	21420
798	84732	21315
799	84833	21208
800	84947	21104
801	85055	20998
802	85156	20891
803	85262	20785
804	85365	20678
805	85473	20573
806	85582	20467
807	85690	20362
808	85807	20258
809	85900	20149
810	86004	20042
811	86088	19931
812	86199	19827
813	86302	19720
814	86436	19620
815	86561	19518
816	86664	19412
817	86771	19306
818	86886	19202
819	86991	19095
820	87093	18988
821	87207	18884
822	87320	18779
823	87435	18675
824	87556	18572
825	87683	18470
826	87806	18368
827	87921	18263
828	88042	18160
829	88156	18056
830	88265	17950
831	88391	17848
832	88510	17744
833	88634	17641
834	88720	17531
835	88841	17428
836	88942	17320
837	89049	17214
838	89153	17108
839	89275	17004
840	89388	16899
841	89487	16792
842	89573	16682
843	89678	16575
844	89768	16466
845	89882	16361
846	90000	16257
847	90109	16151
848	90226	16047
849	90344	15943
850	90459	15838
851	90566	15732
852	90658	15623
853	90776	15519
854	90888	15413
855	90988	15306
856	91102	15201
857	91206	15094
858	91309	14987
859	91416	14881
860	91523	14775
861	91631	14669
862	91716	14559
863	91818	14452
864	91895	14342
865	91993	14234
866	92101	14128
867	92198	14020
868	92304	13914
869	92384	13804
870	92483	13697
871	92591	13591
872	92685	13483
873	92786	13376
874	92885	13269
875	92974	13160
876	93063	13052
877	93169	12946
878	93249	12836
879	93349	12729
880	93461	12624
881	93559	12517
882	93654	12409
883	93760	12303
884	93843	12194
885	93953	12088
886	94055	11982
887	94149	11874
888	94249	11767
889	94339	11659
890	94439	11553
891	94537	11446
892	94630	11338
893	94738	11233
894	94841	11126
895	94939	11019
896	95036	10912
897	95159	10808
898	95281	10704
899	95402	10600
900	95504	10493
901	95608	10387
902	95717	10281
903	95822	10175
904	95919	10068
905	96013	9961
906	96107	9854
907	96204	9747
908	96300	9640
909	96399	9533
910	96499	9427
911	96598	9320
912	96697	9214
913	96808	9108
914	96919	9003
915	97024	8897
916	97113	8789
917	97215	8683
918	97293	8575
919	97395	8469
920	97498	8363
921	97598	8256
922	97703	8150
923	97802	8044
924	97899	7937
925	98003	7831
926	98093	7724
927	98180	7617
928	98273	7510
929	98387	7405
930	98483	7298
931	98577	7192
932	98672	7085
933	98776	6979
934	98877	6873
935	98978	6767
936	99086	6662
937	99191	6556
938	99306	6451
939	99401	6344
940	99503	6238
941	99601	6132
942	99705	6026
943	99829	5922
944	99946	5816
945	100049	5711
946	100155	5605
947	100261	5499
948	100379	5394
949	100489	5288
950	100609	5183
951	100712	5077
952	100823	4972
953	100924	4866
954	101027	4760
955	101122	4654
956	101227	4548
957	101325	4442
958	101424	4336
959	101526	4230
960	101625	4124
961	101737	4018
962	101863	3913
963	101981	3808
964	102078	3702
965	102174	3596
966	102262	3489
967	102386	3384
968	102478	3278
969	102576	3172
970	102667	3066
971	102775	2960
972	102879	2854
973	102981	2748
974	103077	2643
975	103199	2537
976	103295	2431
977	103399	2325
978	103493	2219
979	103589	2114
980	103680	2008
981	103780	1902
982	103887	1796
983	103989	1690
984	104089	1585
985	104211	1479
986	104299	1373
987	104414	1268
988	104506	1162
989	104602	1056
990	104701	950
991	104771	844
992	104859	739
993	104955	633
994	105035	527
995	105143	422
996	105240	316
997	105347	211
998	105444	105
999	105543	0
